Unnamed: 0,Time,LON,LAT,Temperature above oceans,Air density above oceans,Max wave height,Swell period,Wind wave period,Wave period,Sea surface temperature,Combined wind waves and swell height,Swell height,Wind wave height,Surface pressure,SOG,COG,Heading,Width,Length,Draught,Wind Speed,Current Speed,True Wind Direction,True Current Direction,True Swell Direction,True Wind Wave Direction,True Wave Direction
4333,30/06/2021 16:00,14.04860666,55.20811980285714,293.105957,1.1912126541137695,2.2047464847564697,4.708492279052734,4.114600182,4.188289642333984,291.6146240234375,1.1360780000686646,0.3358125686645508,1.0795776844024658,100727.0625,19.266571428571428,278.1105714285714,277.1171428571429,25,158,5.4,9.394227104496345,100727.0625,48.40435584697536,172.88285714285712,145.065688,138.47959786551337,139.74050789969306
4334,30/06/2021 17:00,13.267155603773585,55.24814810188679,293.505127,1.1904888153076172,1.959710717201233,4.730740547180176,3.993446350097656,4.137051582336426,291.8929443359375,1.0231952667236328,0.3519749641418457,0.948272705,100706.875,18.806037735849056,274.2188679245283,272.5735849056604,25,158,5.4,7.524796904,100706.875,46.65899887801123,177.42641509433955,150.60339415928098,147.59764541050168,147.7695852603552
4335,30/06/2021 18:00,12.85441636106489,55.276927271214646,293.2199707,,,,,,,,,,100770.9375,17.889683860232946,285.6658901830283,283.9201331114809,25,158,5.4,5.620685047009681,100770.93750005076,65.10029112,166.07992440347414,,,
4336,30/06/2021 19:00,12.426921591049382,55.412256179012346,292.5751953,1.1893301010131836,0.8265201449394226,3.583425521850586,2.149208068847656,3.259328842163086,291.3463134765625,0.4470803141593933,0.3888344168663025,0.215576172,100786.5,15.809722222222224,299.4438271604938,298.49845679012344,25,158,5.4,6.065260713543669,100786.5,92.43097899938071,151.50154320987656,123.13626687320664,121.2198011139293,123.15953271182968
4337,30/06/2021 20:00,12.199904359173129,55.45586806976745,291.6395263671875,1.1912994384765625,,,,,291.1884766,,,,100700.5,1.8012919896640829,270.9521963824289,136.05426356589146,25,158,5.4,5.820120532904328,100700.5,75.78873711599181,46.05426356589146,,,
4339,30/06/2021 22:00,12.20898278680203,55.45648845177665,290.9211426,1.1988344192504885,,,,,291.109375,,,,100761.8125,3.4289340101522843,207.2137055837564,99.9035533,25,158,5.400000000000001,5.370979141192826,100761.8125,122.7156866513136,9.903553299,,,
4340,30/06/2021 23:00,12.46663689043478,55.37862741739131,291.2580566,1.1988248825073242,0.7849594950675964,3.741069793701172,2.596229553222656,3.069805145263672,291.2302246,0.4236270785331726,0.2719665765762329,0.319824219,100825.625,15.910956521739127,128.22295652173912,125.19304347826088,25,158,5.4,6.250314485163783,100825.625,90.47394542537168,35.19304347826088,37.03181911,101.6277378,78.99694896532142
4341,01/07/2021 00:00,12.541402315372425,55.34557604912837,291.0505371,1.1992816925048828,0.8394027352333069,3.788122177124024,2.668739318847656,3.0107784271240234,291.2302246,0.4508326649665832,0.2491699457168579,0.372467041,100815.125,17.20475435816165,124.13074484944532,121.16164817749603,25,158,5.2,6.755496433,100815.125,90.76961671890103,31.16164817749604,30.49954643189055,99.60523452698334,83.23488274
4342,01/07/2021 01:00,13.008336460714286,55.23482018,291.5947266,1.1957473754882812,1.800843358039856,4.967289924621582,3.667640686035156,4.035893440246582,291.5390625,0.949846327,0.4711945056915283,0.814941406,100758.625,18.65803571428572,100.31017857142857,98.05357142857144,25,158,5.2,8.486124378684407,100758.625,107.22937753295936,8.053571428571445,14.879079546247226,68.25124904087613,54.08621760777066
4343,01/07/2021 02:00,13.630983567901234,55.1763175,291.4489746,1.1962242126464844,2.1414999961853027,5.298599243164063,4.035010338,4.357204437255859,290.8972168,1.1198151111602783,0.4735504388809204,0.997467041,100616.375,19.145925925925926,98.92839506,97.02716049382715,25,158,5.2,10.038517695151384,100616.375,108.15060052362408,7.027160493827154,10.211250154471683,59.992072908377935,50.357436983084966
4344,01/07/2021 03:00,14.131989098006644,55.13406979900332,291.3393555,1.1930046081542969,2.809114694595337,5.431038856506348,4.447547912597656,4.706233978271484,290.9645996,1.4441170692443848,0.4694401025772095,1.336975098,100539.1875,18.016943521594687,98.99219269,97.49501661129568,25,158,5.2,11.613643038098704,100539.1875001327,109.01119721867894,7.49492352,6.291922128873807,58.37663129635428,51.46836332150076
4345,01/07/2021 04:00,14.577758307936508,55.09638076349206,291.234375,1.1928491592407229,3.4333081245422363,5.816602707,4.871498107910156,4.963611602783203,291.2425537109375,1.7621713876724243,0.5257567763328552,1.678405762,100400.875,11.376349206349207,112.45507936507936,96.37936507936509,25,158,5.2,12.673130917062243,100400.875,107.12790808542664,6.379365079365087,2.150811307,58.86547576662095,54.40892135377915
4346,01/07/2021 05:00,14.689649888888887,55.09844748148148,291.4116211,1.193622589111328,3.626320362091065,5.920393943786621,4.989051818847656,5.102985382080078,291.7333984,1.8545572757720947,0.6270751357078552,1.74029541,100293.3125,0.007407407,29.78518518518519,173.97222222222223,25,158,5.2,11.673858867948326,100293.3125,36.219372565730765,83.97222222222223,81.36515892876518,139.78488625420465,133.51326836480035
4356,01/07/2021 15:00,14.689638504347826,55.09846613913044,291.9899902,1.190995216369629,1.8071578741073608,5.080772399902344,2.5052261352539062,4.858943939208984,291.7333984,0.957237959,0.9001287817955017,0.2783328890800476,100510.25,0.000869565,32,174.0086956521739,25,158,5.2,4.757104484867122,100510.25000002857,43.61770458014439,84.00865247011171,122.94965176789655,137.09179883210555,123.76775555817976
4357,01/07/2021 16:00,14.502332086885245,55.12063668360656,291.7353516,1.190861701965332,1.605870485305786,5.055447578430176,2.6064224243164062,4.747999191,291.2425537109375,0.851686954,0.780291736,0.3021060228347778,100628.3125,16.40573770491803,276.0042623,275.89016393442625,25,158,5.2,5.017178487724985,100628.3125,75.31673843012871,174.10983606557377,131.66743799428468,108.14781900624756,128.5228380797339
4358,01/07/2021 17:00,14.044619090090093,55.201035047297296,291.359375,1.1943769454956057,1.3511085510253906,4.789361953735352,2.2034683227539062,4.564948081970215,290.7806396484375,0.7178544998168945,0.6789092421531677,0.218933105,100770.25,18.868693693693697,283.3686936936937,283.1689189189189,25,158,5.2,4.248369282760917,100770.25,113.7972351807727,166.8310810810811,123.71078841750688,76.56731765334672,118.87198989455766
4359,01/07/2021 18:00,13.29014759126984,55.24686369,291.4655762,1.197077751159668,1.2984315156936646,4.605005264282227,2.743994713,4.026270866394043,291.4283447265625,0.6873407363891602,0.5546967387199402,0.385681152,100834.5,18.836111111111112,274.20238095238096,274.3968253968254,25,158,5.2,5.068781472894343,100834.50000001272,123.99900367696269,175.60320337992152,120.5507377745613,58.54390946645583,96.46402970571364
4360,01/07/2021 19:00,12.878728080645162,55.27332551612903,291.3640137,1.1975030899047852,1.2031116485595703,4.474196434020996,2.772621154785156,3.886061668395996,291.5390625,0.6382290720939636,0.5123230218887329,0.377929688,100901.5625,17.628548387096775,285.70048387096773,286.0870967741935,25,158,5.2,5.306290838457814,100901.5625,138.9145161939785,163.91290322580647,104.59026376047444,41.55105630197835,81.89993039
4361,01/07/2021 20:00,12.484831165123456,55.41009802160495,290.8798828,1.1984853744506836,0.6531524062156677,3.387191772460937,1.9026870727539065,3.1573562622070312,291.2302246,0.3561546206474304,0.3240448236465454,0.140686035,100926.75,16.687962962962963,301.6549382716049,300.9675925925926,25,158,5.2,4.229594362734765,100926.75,154.85649446216706,149.0324074074074,66.66491044009172,29.05685198748552,61.32235348666154
4362,01/07/2021 21:00,12.207915665271967,55.45653121548117,289.9677734,1.199223518371582,,,,,291.109375,,,,100830.625,4.107112970711297,268.86150627615064,164.8744769874477,25,158,5.2,3.409555324966608,100830.625,28.61060858827514,74.87447698744771,,,
4364,01/07/2021 23:00,12.224663718403548,55.45562755654102,289.5201416015625,1.2039461135864258,,,,,291.0498047,,,,100832.0625,5.619733924611974,177.14855875831486,102.1441241685144,25,158,5.049667405764967,4.667261410886155,100832.0625,27.35423711088376,12.144124168514397,,,
4365,02/07/2021 00:00,12.547483976525822,55.34802991079812,290.1893310546875,1.2034626007080078,0.6746504902839661,3.509896278381348,2.463904381,2.7758264541625977,291.1285400390625,0.3665889501571655,0.199856699,0.3071746826171875,100913.375,17.102034428794994,123.85586854460092,119.6682316118936,25,158,4.8,5.951401679341112,100913.375,9.066741865770624,29.668231611893603,109.7580686861734,176.4264408404092,162.5965763384561
4366,02/07/2021 01:00,13.01132665202109,55.23273578734622,290.6468505859375,1.2008028030395508,1.4274190664291382,4.382071495056152,3.122230529785156,3.398416519165039,291.3402099609375,0.7416418194770813,0.3454651832580566,0.656005859,100893.75,17.763444639718806,100.72267135325131,98.04920913884008,25,158,4.8,7.079289439380572,100893.75,27.466516345897418,8.049209138840084,52.05544235417212,160.04603531071507,147.96861221501194
4367,02/07/2021 02:00,13.56059598097826,55.18428120923913,290.9909668,1.2006006240844729,1.3782579898834229,4.185817718505859,2.845374107,3.5720109939575195,290.8375244140625,0.7211850881576538,0.456417978,0.514404297,100820.5625,17.776358695652174,100.07690217391306,98.3125,25,158,4.8,4.440567048752806,100820.5625,36.975278163968426,8.3125,93.36175441741943,176.8900146484375,150.81387329101562
4368,02/07/2021 03:00,14.048419743315508,55.14437325,290.8779297,1.1998157501220703,1.2365477085113523,4.223638534545898,2.99491024,3.950493812561035,290.4173583984375,0.6478325724601746,0.540014923,0.271972656,100846.25,18.071836007130123,97.61212121,96.65062389,25,158,4.8,1.8962486040933924,100846.25,20.53150699297464,6.650624023,83.02077064,170.75397816486327,136.63252696208986
4369,02/07/2021 04:00,14.56032164920635,55.098156560317456,290.9298095703125,1.1998567581176758,1.343116044998169,4.383478164672852,2.8814468383789062,3.887688636779785,291.0950927734375,0.7106565833091736,0.543182373,0.429748535,100831.875,13.96984126984127,110.6379365079365,102.3095238095238,25,158,4.8,2.364089747,100831.875,86.33349712266059,12.309523809523796,73.42556690034411,109.31691051664808,127.83357311430429
4380,02/07/2021 15:00,14.689630383561644,55.09845332876712,291.2348633,1.2022085189819336,0.8523563742637634,3.8643198013305664,3.5472183227539062,3.8485727310180655,291.4519043,0.4552502632141113,0.4534911513328552,0.016159058,101173.0625,0.073972603,109.31780821917808,174.08219178082192,25,158,4.8,3.2451079465858754,101173.0625,100.85674731191492,84.08219982754828,54.847129508240585,150.3755381858512,54.89856688617027
4381,02/07/2021 16:00,14.442359629090909,55.13064149090909,291.1152344,1.2018098831176758,0.7918407320976257,3.786555290222168,3.5516366958618164,3.767756462097168,291.0952148,0.4239800572395324,0.4217986464500427,0.017089844,101231.4375,16.892848484848486,282.08933333333334,280.1636363636364,25,158,4.8,3.6974565330343423,101231.4375,155.64559331837012,169.8363636363636,45.262879527698885,103.50372012745248,45.08397022594107
4382,02/07/2021 17:00,14.04013324270712,55.20229380980163,291.3928223,1.203007698059082,0.6749634742736816,3.675234794616699,3.519203186035156,3.662234306335449,290.4174805,0.3623777627944946,0.3612793684005737,0.012130737,101305.1875,18.77246207701284,281.7529755,281.11551925320884,25,158,4.799999999999999,3.7757640156804624,101305.1875,149.20354462676113,168.88448074679116,40.170634,102.5153306,40.12731429715416
4383,02/07/2021 18:00,13.331471754923417,55.237415899343546,291.9375,1.199991226196289,0.6140891313552856,3.517057418823242,3.4596939086914062,3.447904586791992,291.1860352,0.3328558206558227,0.3224793076515198,0.038787842,101223.6875,18.099343544857767,273.92844638949674,272.81619256017507,25,158,4.8,4.512938352222079,101223.68750000854,169.56648916842545,177.18378391161434,8.953185968378193,106.04014975549876,8.993560724237568
4384,02/07/2021 19:00,12.923447839455784,55.26295643401361,291.8569336,1.1998224258422852,0.596524715,3.4798879623413086,3.539955139160156,3.3795461654663086,291.340332,0.3237608671188354,0.3045654892921448,0.060791016,101263.875,17.621496598639453,282.25278911564624,281.9687074829932,25,158,4.8,4.702235220509741,101263.875,169.96506133766366,168.03129251700682,21.53786031502443,97.43764932853026,21.75892965096193
4385,02/07/2021 20:00,12.467745167872648,55.397468914616496,291.5808105,1.1986942291259766,0.2763963937759399,2.986456871032715,3.814491271972656,2.953742027282715,291.128418,0.1546751260757446,0.1441192030906677,0.019134521,101205.875,16.77192474674385,303.05455861070914,302.9768451519537,25,158,4.8,3.005798027,101205.875,153.42467980836227,147.02315484804632,66.0757984,88.70404779238226,65.80466497617243
4386,02/07/2021 21:00,12.209353996086106,55.45664682191781,290.9841309,1.199872970581055,,,,,291.0498047,,,,101088.5,4.214481409001957,269.4469667318982,161.50097847358123,25,158,4.836790607,2.7424892520399253,101088.5,58.30053884096766,71.50097847358123,,,
4388,02/07/2021 23:00,12.23627294871795,55.4528662,290.753418,1.2006607055664062,,,,,290.9692383,,,,101088.6875,6.959615384615384,166.67115384615386,103.22222222222224,25,158,4.813247863247863,2.288977137981376,101088.6875,23.87976516077954,13.222222222222245,,,
4389,03/07/2021 00:00,12.564759132653062,55.34181822,291.1591797,1.2018156051635742,0.3012623488903045,3.058068275,3.623267174,2.927758217,290.9970703,0.1656224429607391,0.1145966202020645,0.078567505,101221.9375,16.96292517006803,126.4812925170068,125.43877551020408,25,158,4.9,2.131479928328668,101221.9375,0.1998013456683338,35.43877551020408,113.8391022974131,104.5017123,119.1989655786631
4390,03/07/2021 01:00,13.010114231213873,55.23273870905587,291.2429199,1.2016820907592771,0.7976245284080505,3.4761791229248047,2.339271545410156,3.0965404510498047,291.4868164,0.4271024763584137,0.2426788955926895,0.303466797,101288,18.593256262042388,99.94932562620424,97.89788053949904,25,158,4.9,3.690454907613002,101288,6.584821554124005,7.897880539499042,165.00229646245407,175.10872648676468,172.3543777612822
4391,03/07/2021 02:00,13.635283441463416,55.18602784878049,290.7800293,1.2020549774169922,0.5371963977813721,3.446223258972168,3.168189049,3.303645133972168,290.8076172,0.2916409373283386,0.2458038926124572,0.089630127,101271.625,18.76170731707317,96.25560975609756,95.38780487804878,25,158,4.9,1.840863473254104,101271.625,2.9898832023590245,5.387804878048783,147.6327334520293,107.9267758253144,146.29420195788873
4392,03/07/2021 03:00,14.13536246955345,55.14454505277402,290.637207,1.2029170989990234,0.5026607513427734,3.458701133728028,3.6584243774414062,3.3614721298217773,290.9484863,0.2725318074226379,0.236508235,0.05531311,101289.5625,18.74763193504736,100.81217861975642,98.87550744248983,25,158,4.9,1.7770249788007282,101289.56250000052,8.276754511755954,8.875501598,148.7800406532133,75.04252442552206,147.86616125868204
4393,03/07/2021 04:00,14.582763565333334,55.09663386266667,290.8183594,1.2024593353271484,0.5530436038970947,3.4466981887817383,3.6502437591552734,3.3606386184692383,291.09375,0.2993930876255035,0.2639954090118408,0.05619812,101220.125,13.578,134.6584,104.08533333333334,25,158,4.9,1.9945820074274536,101220.125,2.922862954241665,14.085333333333338,166.95197151692707,80.26107834370931,166.72028206380207
4404,03/07/2021 15:00,14.689649042056075,55.09845206542056,291.5610352,1.202631950378418,0.6672424077987671,3.804595947265625,2.0468664169311523,3.476898193359375,291.2172852,0.3602212071418762,0.3127899169921875,0.159393311,101163.9375,0.001401869,355.1,174,25,158,4.989719626168224,3.765491542336176,101163.93750000076,85.35190916266416,84.00000707741025,136.50393676757812,83.32608032226562,127.41494750976562
4405,03/07/2021 16:00,14.474891528548126,55.12496915171289,291.1950684,1.2024908065795898,0.6593833565711975,3.741964340209961,2.1680679321289062,3.327413558959961,291.09375,0.3571966588497162,0.281707764,0.1995391845703125,101202.0625,17.587275693311582,280.7450244698206,279.5725938009788,25,158,5.2,4.123496199333101,101202.0625,163.2004214840405,170.42740619902122,9.449470408005595,25.48931133027565,6.878944285
4406,03/07/2021 17:00,13.978555462474644,55.21456940365112,291.2045898,1.2023839950561523,0.5660021305084229,3.335758209228516,2.450404167175293,3.1770057678222656,290.8164063,0.3089717626571655,0.288787842,0.093139648,101261.6875,18.633062880324545,280.61135902636914,280.02028397565925,25,158,5.2,3.6389657036422784,101261.6875,156.69448419328643,169.97971602434075,35.249959268628004,3.087941446362379,35.047215738354566
4407,03/07/2021 18:00,13.378965006036216,55.24015239034205,291.4748535,1.199427604675293,0.5673298835754395,3.2520580291748047,1.7652969360351562,3.0738353729248047,290.9309082,0.3106825947761535,0.284790039,0.107421875,101189.6875,18.35995975855131,272.7521126760563,272.78068410462777,25,158,5.2,3.4446673953104487,101189.68750000576,153.27889384659437,177.21929657814158,22.74481069154177,21.341475120252767,22.49932729310433
4408,03/07/2021 19:00,12.896476887254902,55.27031094771242,291.911377,1.1989774703979492,0.5518430471420288,3.123208999633789,1.6354141235351562,3.026285171508789,291.4868164,0.3019648492336273,0.288452148,0.080078125,101230.5625,17.126307189542487,283.7478758169935,283.7810458,25,158,5.2,4.181383443775105,101230.5625,153.79069005255576,166.2189542,35.08909018522775,29.20038779,35.0460604
4409,03/07/2021 20:00,12.45972394,55.40200434267913,292.4208984,1.192312240600586,0.2491933703422546,2.6841907501220703,3.774329185,2.6709461212158203,290.9970703,0.1440067887306213,0.1419219970703125,0.008300781,101150.1875,16.619158878504674,301.23130841121497,301.1962617,25,158,5.2,2.016022969686262,101150.1875,170.12668871691383,148.8037383,71.75725106212582,90.51615973499332,71.72021798107113
4410,03/07/2021 21:00,12.20433689090909,55.456256054545456,291.6818848,1.193769454956055,,,,,290.9692383,,,,101007.75,2.744935064935065,267.12883116883114,151.33246753246752,25,158,4.9412987012987015,1.7344576047117368,101007.75,30.04227154677436,61.33246753246752,,,
4412,03/07/2021 23:00,12.248041725321889,55.45060999356223,291.1970215,1.197834014892578,,,,,292.1970215,,,,100985.5625,7.6444206008583695,164.89613733905577,107.22317596566523,25,158,4.9,1.3667095461556618,100985.5625,4.355374436934852,17.223175965665234,,,
4413,04/07/2021 00:00,13.013429755591057,55.23774264376996,291.4702148,1.199662208557129,0.4103649258613586,2.976646423339844,3.391029357910156,2.939781188964844,292.4282227,0.2261033207178115,0.2224106043577194,0.021728516,101168.6875,19.26948881789137,99.30047923322684,97.19169329073482,25,158,5.3,1.966759258545536,101168.6875,1.8224802171972383,7.191693290734818,156.22209455106207,75.45392893221431,156.0733823928589
4414,04/07/2021 01:00,13.618505157760817,55.18692050890586,290.9611816,1.200108528137207,0.402651846,3.056985855102539,3.3409881591796875,3.039651870727539,292.1828613,0.222085565,0.2207031548023224,0.011230469,101162.625,18.900763358778622,99.11399491094149,96.90839694656488,25,158,5.3,1.2980074956684493,101162.625,63.708856335674525,6.908396946564878,156.53009487472417,72.96444247879144,156.46466518722417
4415,04/07/2021 02:00,14.118985320069203,55.14059285640138,290.576416,1.2027645111083984,0.3941932916641235,3.2757492065429688,3.864917755126953,3.275724411010742,291.9755859,0.2160095572471618,0.2159042358398437,2.521972837813899e-16,101213.125,18.946712802768168,100.0370242214533,99.03287197231832,25,158,5.3,2.034248244897753,101213.125,95.69673055255932,9.032871972318318,150.82117771029883,63.71978450893941,150.82265781283792
4416,04/07/2021 03:00,14.606177839171975,55.09555001592357,290.6574707,1.2030096054077148,0.4434114098548889,3.405728340148926,3.864905357,3.405728340148926,291.9042969,0.2421481609344482,0.242248535,2.521972837813899e-16,101165.3125,11.985509554140126,98.89426751592356,105.55254777070064,25,158,5.3,2.319893514271392,101165.31250000044,93.54452407047496,15.552553131909605,175.85891373749752,70.24574692841549,175.85970719452877
4427,04/07/2021 14:00,14.689634574898784,55.09844734412956,292.2919922,1.1995277404785156,0.3967325091361999,3.375761032104492,3.748329162597656,3.370573043823242,291.9621582,0.2182967066764831,0.21786499,0.002708435,101062.3125,0.046558704,18.14898785425101,174.0080971659919,25,158,5.3,1.5142361270387232,101062.3125,160.5283560870269,84.00809717,99.25998162644112,136.72587441818916,99.21402978
