,Time,LON,LAT,Temperature above oceans,Air density above oceans,Max wave height,Swell period,Wind wave period,Wave period,Sea surface temperature,Combined wind waves and swell height,Swell height,Wind wave height,Surface pressure,SOG,COG,Heading,Width,Length,Draught,Wind Speed,Current Speed,True Wind Direction,True Current Direction,True Swell Direction,True Wind Wave Direction,True Wave Direction
3576,2021-05-30 03:00:00,14.586469307142856,55.09892678571429,283.681640625,1.2549066543579102,0.6183061003684998,3.651365280151367,3.541041374206543,3.631223678588867,284.2740478515625,0.3333228230476379,0.3307037353515625,0.016754150390625,102664.1875,12.769642857142856,101.52857142857142,110.02678571428572,25.0,158.0,5.3,2.882871220534099,0.0712848331958433,72.94584826258927,109.15564308030828,64.46107755388533,79.1302422114781,64.6961773463658
3577,2021-05-30 04:00:00,14.68965125,55.09845684090909,283.703369140625,1.2551288604736328,0.682084321975708,3.754397392272949,2.9321060180664062,3.669070243835449,284.3580322265625,0.3668102622032165,0.3562469482421875,0.061431884765625,102589.0625,0.0,3.5,174.0,25.0,158.0,4.945454545454546,3.583640599884608,0.0169899871367825,28.99976825271949,99.67916787423808,126.99807739257812,145.5728530883789,127.87542724609376
3578,2021-05-30 05:00:00,14.689642857142855,55.098473285714284,283.5980224609375,1.255692481994629,0.6774619817733765,3.785924911499024,1.977821350097656,3.665319442749024,284.3580322265625,0.3645079135894775,0.3505859375,0.0852203369140625,102611.9375,0.0,3.5,174.0,25.0,158.0,4.9,3.740476453619841,0.0169899871367825,39.88623312218712,99.67916787423808,125.83638763427734,138.8568115234375,126.50103378295898
3579,2021-05-30 06:00:00,14.68963855172414,55.09845486206897,283.521240234375,1.255946159362793,0.6761817932128906,3.798403739929199,2.015174865722656,3.663516044616699,284.3580322265625,0.3641600012779236,0.349700927734375,0.0918121337890625,102634.375,0.0,3.5,174.0,25.0,158.0,4.9,3.6528689075891534,0.0635813920372979,50.74346858756985,73.71335546666623,124.56143188476562,124.50633239746094,124.67146301269533
3580,2021-05-30 07:00:00,14.689656814814816,55.09845848148148,283.499755859375,1.2562789916992188,0.6744246482849121,3.788030624389648,1.9661636352539065,3.6812801361083984,284.3580322265625,0.362994909286499,0.352264404296875,0.08026123046875,102654.4375,0.0,3.5,174.0,25.0,158.0,4.9,3.386968682765877,0.0169899871367825,60.0672700871296,99.67916787423808,123.0602569580078,117.31134414672852,122.93577575683594
3581,2021-05-30 08:00:00,14.689655827586208,55.09845462068966,283.54443359375,1.2563695907592771,0.6704835891723633,3.7755861282348633,2.999549865722656,3.721936225891113,284.3580322265625,0.3608942627906799,0.355255126953125,0.044525146484375,102690.0625,0.0,3.5,174.0,25.0,158.0,4.9,3.097006644981653,0.0169899871367825,64.82947454530569,99.67916787423808,121.6946258544922,130.74420547485352,121.64146041870116
3582,2021-05-30 09:00:00,14.689636111111112,55.09845940740741,283.63037109375,1.256601333618164,0.6673138737678528,3.8276443481445312,2.8993911743164062,3.771186828613281,284.3580322265625,0.3588849306106567,0.353118896484375,0.0467529296875,102712.6875,0.0,3.5,174.0,25.0,158.0,4.9,3.0047717601895547,0.0548585546732121,66.81062017033199,84.19614375348215,120.83756256103516,127.37414932250977,120.78680801391602
3583,2021-05-30 10:00:00,14.68964157142857,55.09845835714286,284.08203125,1.259328842163086,0.6621553897857666,3.913243293762207,1.808387756347656,3.824803352355957,284.358154296875,0.3550719618797302,0.3470275998115539,0.0677490234375,102730.3125,0.0,3.5,174.0,25.0,158.0,4.9,3.1400866854656906,0.0169899871367825,84.67986022729883,99.67916787423808,116.9592399597168,97.85689544677734,116.56251525878906
3584,2021-05-30 11:00:00,14.68963503448276,55.09847055172413,284.186279296875,1.2583074569702148,0.6611393094062805,3.904582977294922,2.85733699798584,3.856670379638672,284.358154296875,0.3551343381404876,0.3506805598735809,0.0410232543945312,102737.25,0.0,3.5,174.0,25.0,158.0,4.9,2.7350522816877163,0.0169899871367825,77.5503689067788,99.67916787423808,116.44446182250977,123.76466751098631,116.34894180297852
3585,2021-05-30 12:00:00,14.689633535714284,55.09846346428572,284.22119140625,1.2576913833618164,0.6608197689056396,3.9284915924072266,2.9848403930664062,3.881494522094727,284.358154296875,0.3553515076637268,0.3504608273506164,0.0367279052734375,102738.0625,0.0,3.5,174.0,25.0,158.0,4.9,2.613487911056022,0.054005049757665,66.83875682541995,83.6702594722102,116.38790893554688,129.69280242919922,116.45487213134766
3586,2021-05-30 13:00:00,14.689652,55.09845148148148,284.262939453125,1.2567691802978516,0.6613910794258118,3.9670000076293945,3.3024673461914062,3.9052324295043945,284.358154296875,0.3552951216697693,0.3484161496162414,0.039581298828125,102729.75,0.0,3.5,174.0,25.0,158.0,4.9,2.654951059984386,0.0169899871367825,55.94000671746369,99.67916787423808,116.4598159790039,136.7270965576172,116.64603424072266
3587,2021-05-30 14:00:00,14.689651150442478,55.09846545132744,284.33740234375,1.2560853958129885,0.6622729301452637,3.984129905700684,3.3219985961914062,3.909178733825684,284.358154296875,0.3556448817253113,0.347128301858902,0.044403076171875,102722.3125,0.0203539823008849,7.713274336283186,174.0353982300885,25.0,158.0,5.087610619469026,2.8226359406474755,0.0169899871367825,46.1935950099427,99.71456610432658,116.71365903331116,137.66869519664124,117.08186505748108
3588,2021-05-30 15:00:00,14.483654,55.1209340117647,284.470947265625,1.255213737487793,0.5816136002540588,3.961514472961426,3.5998306274414062,3.901516914367676,284.274169921875,0.3126409351825714,0.3058044612407684,0.029571533203125,102766.9375,17.19764705882353,279.9835294117647,277.93949579831934,25.0,158.0,5.1,2.574808323154282,0.0515771961752832,61.35207556873311,25.565070375821648,140.25940251711037,117.57065892580177,139.87708974245214
3589,2021-05-30 16:00:00,13.963646160747665,55.21858488785047,285.129638671875,1.2529411315917969,0.484928548336029,3.795932769775391,3.58103084564209,3.74429702758789,284.65185546875,0.2622930109500885,0.2572571039199829,0.024444580078125,102786.0625,18.88056074766355,280.5644859813084,279.0822429906542,25.0,158.0,5.1,1.897963558039019,0.0169899871367825,15.322239873450826,155.2385891351077,148.93093297370126,117.3484973657911,148.69207951911142
