Unnamed: 0,Time,LON,LAT,Temperature above oceans,Air density above oceans,Max wave height,Swell period,Wind wave period,Wave period,Sea surface temperature,Combined wind waves and swell height,Swell height,Wind wave height,Surface pressure,SOG,COG,Heading,Width,Length,Draught,Wind Speed,Current Speed,True Wind Direction,True Current Direction,True Swell Direction,True Wind Wave Direction,True Wave Direction
638,2021-01-27 15:00:00,14.68963122972973,55.09844154054054,276.583251953125,1.267674446105957,1.8124334812164309,4.975520133972168,3.668495178222656,3.942462921142578,277.848388671875,0.934285283088684,0.4132278561592102,0.8353729248046875,100776.0,0.0722972972972973,334.0189189189189,174.14864864864865,25.0,158.0,5.272972972972973,8.30339127456949,100776.00000008516,112.17230462324062,84.14872313124033,146.69537600955448,72.42743167361695,81.30801639041385
639,2021-01-27 16:00:00,14.4849603697479,55.12332099495799,276.39697265625,1.2668581008911133,1.7656376361846924,4.772580146789551,3.682167053222656,3.933932304382324,277.91796875,0.9151885509490968,0.4319338798522949,0.8043975830078125,100820.375,16.688235294117646,281.31478991596634,278.8218487394958,25.0,158.0,5.2,8.443463947403385,100820.375,138.05597571989773,171.1781512605042,15.11995423901982,39.21889768969112,30.399103988519244
640,2021-01-27 17:00:00,13.992357075614366,55.21695638563328,276.085693359375,1.268244743347168,1.5235393047332764,4.525885581970215,3.311195373535156,3.842021942138672,277.968994140625,0.7951876521110535,0.4170284271240234,0.650177001953125,100880.0,18.78449905482041,280.7366729678639,278.5992438563327,25.0,158.0,5.2,8.02210323369326,100880.0,131.37289412380778,171.4007561436673,5.183045125863941,45.30998299207488,40.321488119028
641,2021-01-27 18:00:00,13.348115138709677,55.24582191290323,275.9993591308594,1.266739845275879,1.5190110206604004,4.284948348999023,3.4468765258789062,3.5918092727661133,277.568115234375,0.7983570694923401,0.3201307356357574,0.728607177734375,100739.9375,18.510645161290324,271.96645161290326,269.1709677419355,25.0,158.0,5.2,7.826287539674111,100739.93750007205,134.6428145037998,179.1710362666383,5.889212922127001,43.984566374748,37.334419890373
642,2021-01-27 19:00:00,12.89436571961102,55.27182339222042,275.9222717285156,1.2662420272827148,1.3284738063812256,4.043491363525391,3.278236389160156,3.472471237182617,277.3804931640625,0.7035343050956726,0.3270900547504425,0.6181640625,100695.375,18.12220421393841,284.2301458670989,281.5510534846029,25.0,158.0,5.2,7.676510955209383,100695.375,113.231015961335,168.4489465153971,19.744107683821653,66.59611268870447,56.2563757502279
643,2021-01-27 20:00:00,12.443045271103896,55.40773306168832,274.6973876953125,1.2695331573486328,0.8539412617683411,3.6298599243164062,2.4731216430664062,3.1828384399414062,276.680419921875,0.4633464217185974,0.3297451436519623,0.30462646484375,100514.5,17.242207792207793,299.13327922077923,296.46915584415586,25.0,158.0,5.2,6.106590442684006,100514.5,99.48513705652827,153.53084415584414,74.20307308048399,82.67119747013243,81.57846980899961
644,2021-01-27 21:00:00,12.20097873549884,55.45584397447796,274.2000427246094,1.2701568603515625,,,,,276.4853515625,,,,100311.0625,2.082598607888631,243.4176334106729,140.71925754060325,25.0,158.0,5.298839907192575,4.736242183320536,100311.0625,104.45131521756151,50.71925754060325,,,
646,2021-01-27 23:00:00,12.262814336330935,55.44878125,274.1474609375,1.270909309387207,,,,,276.35693359375,,,,100215.5,10.010791366906474,142.02805755395684,106.7841726618705,25.0,158.0,5.218345323741008,4.229902839028159,100215.5,55.67736091524099,16.7841726618705,,,
647,2021-01-28 00:00:00,12.565059709923664,55.339011018320605,274.5105895996094,1.2713518142700195,0.8887141942977905,3.522703170776367,2.43002986907959,3.206907272338867,276.5867919921875,0.4802436828613281,0.3376343250274658,0.299407958984375,100270.1875,17.156335877862595,124.1824427480916,123.4702290076336,25.0,158.0,5.2,5.003848219072113,100270.1875,54.54379398154572,33.470229007633606,78.70634569939764,122.85159411248358,93.1946879845539
648,2021-01-28 01:00:00,13.02836194931774,55.23295923586744,275.2387390136719,1.2676963806152344,1.2980475425720217,3.725004196166992,3.23648738861084,3.414701461791992,277.332763671875,0.6871586441993713,0.3947755098342895,0.55908203125,100292.4375,18.27992202729045,100.05224171539962,99.46003898635476,25.0,158.0,5.2,6.86254600834393,100292.4375,20.932617686750987,9.46003898635476,93.48318305954368,150.84025398239524,132.09742561325453
