,LON,LAT,sog,vwknot,cog,truecurrdir,dirchk,heading,curdir,curspeed,vgms
11,13.85009009,55.39048487,11.25211194,11.127819602256292,117.0032845,107.9517649,9.051519600000006,178.6536145,70.70184959489508,0.09312816041006716,5.788718973145386
12,14.15540819,55.2553792,18.11962747,18.071254335961612,125.8293849,72.66571451,53.16367038999999,125.4462963,52.78058178890901,0.08662147853802898,9.321755051960078
13,14.56350932,55.11239861,14.3797271,14.282490836026696,128.3521281,38.66709385,89.68503424999999,114.0779727,75.41087885556857,0.08351015269134245,7.397740045272148
17,13.81700924,55.22528516,18.221673,18.0840313876431,274.6246448,149.4727307,125.1519141,272.1100889,-57.3626418307979,0.08029398595058101,9.374253009568886
24,12.55815396,55.34536737,17.6380479,17.48292226366401,123.4722611,54.84643618,68.62582492,122.9086375,68.06220136360905,0.14191342263667955,9.074003446856672
42,13.36920927,55.24611099,18.9586509,18.864756063175957,273.7914148,23.07247544,250.71893935999998,271.6027198,-65.32480480196733,0.05172001985277626,9.753395874061116
48,12.54911158,55.34990282,17.33568353,17.297963853333524,122.8786152,65.89711861,56.98149658999999,122.4394279,56.542309317457544,0.04862518559046866,8.918450216071612
49,12.99147703,55.22957635,18.51721901,18.503252868740088,103.5901766,112.3770863,8.786909699999995,102.2311332,34.60821949539427,0.020084179105109897,9.526298492643278
51,14.11930598,55.14530413,19.04517375,18.88945510025599,98.99731305,145.5065294,46.50921635,97.6042471,63.11077653787392,0.09909414418435834,9.797908092396337
52,14.57458828,55.09798623,13.73646055,13.652994984596281,136.9592403,145.1005975,8.141357199999987,109.9104478,75.01104527754364,0.09231268422559481,7.066807567650994
64,14.48476326,55.12304578,17.32584767,16.82294730207759,282.9082215,2.549022199,280.35919930100005,278.6849315,-83.86409069180903,0.2605930385938667,8.91339009671777
66,13.3801624,55.24026749,19.04177736,18.469151664417744,277.1258359,11.8763169,265.249519,275.1423021,-72.98138095288631,0.2991783720766847,9.796160798436054
67,12.88194478,55.27969019,18.1566162,17.749311645850224,283.7706323,2.638644643,281.13198765699997,281.6397223,-75.7216330724734,0.2095487777770059,9.340784134170182
72,13.00523479,55.23008988,19.26081429,18.84094562938602,102.1803838,168.509774,66.32939019999999,100.5099879,89.01976185127639,0.22196558351278325,9.908845709435127
73,13.56507208,55.17830085,19.12539063,18.626160003822534,97.56607026,173.9495232,76.38345293999998,94.78504243,88.73456560949145,0.2599979497841916,9.839176165243337
74,14.12694767,55.13740536,19.10614828,18.600057072155174,98.66042101,166.737843,68.07742199,97.25865274,83.99649569275016,0.2693791599029018,9.829276818602736
75,14.58194768,55.09716785,13.38516129,13.068149909723145,140.5976344,162.028859,21.431224600000007,106.9505376,88.97939666003325,0.26795122920473363,6.886079478341393
87,14.47168305,55.13047415,17.75581182,17.35902633834802,284.8231371,11.24220051,273.58093659,282.9598517,-88.28234884266976,0.20971761170505726,9.134587827965841
89,13.38459538,55.24265374,18.1128115,17.72743690606427,275.0407547,8.530868742,266.509885958,273.5715341,-77.89759712235157,0.19980708334240732,9.318248533799773
90,12.90807652,55.27126023,17.64656409,17.369619778961827,281.8726953,8.040416882,273.832278418,279.9008272,-72.05875590650136,0.14329155143187086,9.078384653770962
98,14.12941201,55.12754226,18.10363015,17.716858594148093,101.2873908,164.2962594,63.0088686,100.3881718,84.68443121708512,0.20783562423980823,9.313525131186337
99,14.57887809,55.09201869,12.93436123,12.51098682732873,79.54628888,160.1044702,80.55818132,106.0577308,86.16220099313176,0.21931767349334805,6.654162583599136
110,14.63715989,55.09772291,9.993824228,9.875666639884702,155.2484754,33.68048385,121.56799154999999,226.6129097,80.29339350317153,0.2576669510926943,5.141385033439654
114,12.70291603,55.31176095,16.57877759,16.3377989683947,297.9159652,24.83075404,273.08521116000003,295.9915704,-88.83918359491572,0.13909828688592216,8.529055247453442
119,12.96316898,55.24525881,18.9989056,18.72997221771122,102.8321303,164.8718078,62.039677499999996,100.7823128,85.65412064270289,0.1449138499338601,9.774105154851323
120,13.55318435,55.19053214,19.33427835,18.913458515472726,98.69117704,153.650411,54.95923395999999,96.93481604,70.58522700455468,0.24621951442734552,9.946639752032103
121,14.07399117,55.14390237,18.91104651,18.429832867834314,99.59861631,153.0315894,53.432973090000004,97.52575848,70.55734784982364,0.28431476263991096,9.728905499536989
122,14.56445018,55.09664845,13.85493274,13.276732348607997,88.4755736,153.6432266,65.16765299999999,106.9415211,80.584747685134,0.3004279301660783,7.127756322666942
126,14.64401502,55.10238224,9.30519802,9.009772419640363,142.835632,41.76675845,101.06887355,227.6808373,89.44759568155038,0.2628969185874435,4.787116997633502
129,13.82600438,55.42110526,0.822935534,0.2760798521461382,87.13630632,22.90015488,64.23615144,244.9702893,87.87044415287384,0.28140217808475587,0.42336430394073465
131,14.48721435,55.12140653,18.70288891,18.470818134535797,108.8129795,154.9016,46.088620500000005,107.899157,82.80075705212023,0.13304699497569705,9.621817527523406
134,14.52516968,55.11801834,16.15525813,15.886580949642717,288.3316156,10.9615102,277.3701054,270.6596558,-78.37883396798782,0.13919238852908,8.311173027060397
136,13.36621903,55.24656043,20.12619589,19.958189277298775,273.5765612,15.09550619,258.48105501000003,271.9689832,-72.93551063684106,0.08890506938499583,10.354046656034573
137,12.85542759,55.28094133,19.24844461,19.001539494312244,286.8992329,15.17564201,271.72359089,285.3431647,-59.48119333383545,0.13074687675462865,9.902482050622492
