,Unnamed: 0,Time,LON,LAT,Temperature above oceans,Air density above oceans,Max wave height,Swell period,Wind wave period,Wave period,Sea surface temperature,Combined wind waves and swell height,Swell height,Wind wave height,Surface pressure,Draught,Width,Length,SOG,COG,Heading,Wind Speed,Current Speed,True Wind Direction,True Current Direction,True Swell Direction,True Wind Wave Direction,True Wave Direction,stw,northcurrdir,nortwinddir
3973,3973,2021-06-29 00:00:00,12.81538916,55.2599907,292.2602539,1.199033737,0.161236703,1.915931702,3.864906311,1.915992737,292.1430664,0.110005662,0.11000061,2.54e-16,101353.5625,5.290129767,24,158,19.90563879,111.6724185,110.2102649,0.544620782,0.016703624,87.28471777,29.21450311,58.97317626,74.8979213,58.97250487,19.95767157618832,-31.87663014938871,22.92554709123899
3974,3974,2021-06-29 01:00:00,13.39597815,55.18766735,291.7683105,1.199073792,0.182617605,2.013454437,3.864917755,2.013454437,292.2114258,0.118466496,0.118362188,2.54e-16,101373.0625,5.291670744,24,158,20.64793103,98.00824773,96.34113817,0.742858206,0.016703624,26.65116174,15.34537638,104.9156978,61.0279439,104.9197719,20.70114359442224,-38.14007187842626,69.68997639856615
3975,3975,2021-06-29 02:00:00,13.99126868,55.15632919,291.4929199,1.201145172,0.186212361,2.124459267,3.864918709,2.124459267,292.1157227,0.116239905,0.116258405,2.55e-16,101389.5,5.289416393,24,158,20.44031414,93.61148171,92.00702148,0.44176838,0.016703624,65.71685451,11.01125969,125.441358,56.69642883,125.4473547,20.49982623990067,-46.8433461946273,-22.276123961892235
3976,3976,2021-06-29 03:00:00,14.52637629,55.11138527,291.590332,1.200468063,0.223269105,2.196277618,3.864906311,2.196278572,291.857666,0.137378216,0.137352258,2.54e-16,101279.5625,5.290249496,24,158,16.78399209,122.0028129,104.6600791,1.00053365,0.101410371,118.372357,12.80061482,132.9767923,69.34962373,132.9853219,16.98050166204287,-62.53930612587579,43.03243609490295
3977,3977,2021-06-29 04:00:00,14.68966049,55.0984371,291.5754395,1.200240135,0.239167333,2.250984192,3.723854065,2.245368958,292.262207,0.145090818,0.144022107,0.004608154,101221.375,5.283180381,24,158,0.0,355.4,173.8363636,0.885528826,0.098347433,115.1963712,51.47197408,64.21931568,135.4300907,64.31710926,0.19116773941338472,-57.63561043995441,-70.9672651147874
3978,3978,2021-06-29 05:00:00,14.68965642,55.09847046,291.4707031,1.19991684,0.238369286,2.221773148,3.542945862,2.205916405,292.262207,0.147548854,0.143197596,0.014129639,101206.3125,5.286295125,24,158,0.0,355.4,173.4,1.515115031,0.044135817,140.2815436,23.69453478,57.67695007,127.8218063,57.53183899,0.0857912013568765,-30.29453478045629,-46.31845643394192
3979,3979,2021-06-29 06:00:00,14.68963248,55.09844254,291.5070801,1.199254036,0.254176795,2.220550537,3.585365295,2.198797226,292.262207,0.156137168,0.146368384,0.022277832,101206.8125,5.282868907,24,158,0.0,355.4,173.5333333,1.843868021,0.024437049,131.2550463,102.7390455,30.3785319,127.0123182,30.8427653,0.04750073522572599,70.79428778382493,-55.21162035803602
3980,3980,2021-06-29 07:00:00,14.68962856,55.09846518,291.6687012,1.198457718,0.262141049,2.255620003,2.622047424,2.211064339,292.262207,0.158539176,0.146332383,0.039855957,101169.875,5.289366908,24,158,0.0,355.4,174.0,2.118028777,0.024437049,127.7171511,103.2057122,13.19467163,83.08342743,13.75157166,0.04750073522572599,70.79428778382493,-58.282848943855186
3981,3981,2021-06-29 08:00:00,14.68964841,55.09846521,291.8847656,1.196969032,0.261555195,2.249418259,3.569129944,2.222623825,292.262207,0.157533944,0.150614202,0.019683838,101161.3125,5.289366908,24,158,0.0,355.4,174.0028133,2.413644244,0.015809152,123.4251433,120.0565998,7.24859053,127.0436687,7.987863601,0.030729830251035054,53.946213467013074,-62.572043455211166
3982,3982,2021-06-29 09:00:00,14.68963651,55.09844737,292.1777344,1.196223259,0.261223316,2.230463982,3.555702209,2.205317497,292.262207,0.158674121,0.154112577,0.016540527,101179.25,5.296046671,24,158,0.0,355.4,173.5353237,2.815844043,0.054759353,132.8230198,59.93898204,2.416962116,126.6014667,2.883453815,0.10644123062111106,-66.40365839166519,-53.64165656443851
3983,3983,2021-06-29 10:00:00,14.68963819,55.09846819,292.5874023,1.196171761,0.238105237,2.276916504,2.619606018,2.207214355,292.262207,0.144698977,0.126617432,0.057830811,101170.6875,5.276016469,24,158,0.0,355.4,174.0,2.222260747,0.05241752,135.6820198,49.88633729,12.52981567,85.11528778,11.91891479,0.10188917480359067,-55.8863372941186,-50.317980251547105
3984,3984,2021-06-29 11:00:00,14.6896145,55.098466,292.8464355,1.194787979,0.24778527,2.318126678,2.334877014,2.228221893,292.262207,0.148715913,0.136419773,0.049835205,101116.375,5.286295125,24,158,0.0,355.4,174.0,2.389583361,0.05593098,145.0408512,38.39655464,15.14634705,69.0761795,16.19818115,0.10871863822449639,-44.39655463546472,-40.959148790066656
3985,3985,2021-06-29 12:00:00,14.68961099,55.09847061,293.0593262,1.193725586,0.2576105,2.228039742,3.246925354,2.208569527,292.262207,0.155391037,0.153054893,0.013824463,101086.9375,5.281645257,24,158,0.0,355.4,174.0,2.566086903,0.026447227,136.6463924,102.4835472,22.84266663,118.1775589,22.91844177,0.05140812043844072,71.51645283243506,-49.353607577484304
3986,3986,2021-06-29 13:00:00,14.68963808,55.09844421,293.159668,1.192085266,0.258926392,2.215550423,3.778175354,2.201878548,292.262207,0.157559633,0.153701782,0.00769043,100996.25,5.292658103,24,158,0.0,355.4,173.4642857,2.416943072,0.026447227,113.6849752,101.9478329,25.81178938,135.4016255,25.65454756,0.05140812043844072,71.51645283243506,-72.85073911388722
3987,3987,2021-06-29 14:00:00,14.68964769,55.0984433,293.2272949,1.191299438,0.269585609,2.204431534,3.448097229,2.189844131,292.262207,0.163850725,0.161483765,0.01083374,100936.4375,5.298360689,24,158,0.0,355.4,173.3932203,2.681133931,0.045418944,92.91540548,111.9043898,38.4204115,131.8821386,38.54008618,0.08828534418073485,61.48883050752331,86.3086258148851
3993,3993,2021-06-29 20:00:00,12.20238669,55.45611898,291.5795898,1.185665131,,,,,291.3574219,,,,100759.75,5.378208011,24,158,2.22,284.4520377,136.4244999,0.93497487,0.016703624,140.3747806,55.42873809,,,,2.242507529750872,38.05203247665865,-3.950280702347079
3994,3994,2021-06-29 21:00:00,12.19696006,55.4555935,291.3244629,1.187578201,,,,,291.3574219,,,,100759.125,5.380629344,24,158,0.0,291.5,109.7462687,0.608097764,0.016703624,16.47769112,28.75050687,,,,0.1272305379764942,46.892809436366086,-53.77604025786854
3995,3995,2021-06-29 22:00:00,12.19696351,55.45559437,292.1745605,1.195102692,,,,,291.1884766,,,,100665.0625,5.382468021,24,158,0.0,291.5,109.0,1.882598036,0.016703624,103.0336633,28.00423821,,,,0.09138741145591248,61.95281886171978,32.03366325541758
